example_en	example_tr
I want you to go.	Ben gitmeni istiyorum.
I want you to die.	Ben ölmeni istiyorum.
I want you to win.	Senin kazanmanı istiyorum.
I want you to come.	Gelmeni istiyorum.
I want you to help.	Yardım etmeni istiyorum.
I want you to lose.	Senin kaybetmeni istiyorum.
I want you to sing.	Şarkı söylemeni istiyorum.
I want you to stay.	Kalmanı istiyorum.
I want you to stop.	Durmanı istiyorum.
I want you to talk.	Konuşmanı istiyorum.
I want you to dance.	Dansetmeni istiyorum.
I want you to do so.	Öyle yapmanı istiyorum.
I want you to guess.	Tahmin etmeni istiyorum.
I want you to leave.	Gitmenizi istiyorum.
I want you to relax.	Sakinleşmeni istiyorum.
I want you to decide.	Karar vermeni istiyorum.
I want you to listen.	Dinlemeni istiyorum.
I want you to suffer.	Acı çekmeni istiyorum.
I want you to try it.	Bunu denemeni istiyorum.
I want you to use it.	Bunu kullanmanı istiyorum.
I want you to be here.	Ben burada olmanı istiyorum.
I want you to be safe.	Güvende olmanızı istiyorum.
I want you to do this.	Bunu yapmanı istiyorum.
I want you to drop it.	Bunu boşvermeni istiyorum.
I want you to go back.	Geri dönmeni istiyorum.
I want you to go home.	Eve gitmeni istiyorum.
I want you to grow up.	Büyümeni istiyorum.
I want you to have it.	Buna sahip ol istiyorum.
I want you to help me.	Bana yardım etmeni istiyorum.
I want you to join us.	Bize katılmanı istiyorum.
I want you to love me.	Beni sevmeni istiyorum.
I want you to read it.	Onu okumanı istiyorum.
I want you to see her.	Ben onu görmeni istiyorum.
I want you to succeed.	Başarılı olmanı istiyorum.
I want you to take it.	Onu almanı istiyorum.
I want you to be happy.	Mutlu olmanı istiyorum.
I want you to be quiet.	Sessiz olmanı istiyorum.
I want you to call Tom.	Tom'u aramanı istiyorum.
I want you to find Tom.	Tom'u bulmanı istiyorum.
I want you to find out.	Öğrenmeni istiyorum.
I want you to get well.	İyileşmeni istiyorum.
I want you to go there.	Oraya gitmeni istemiyorum.
I want you to have fun.	Eğlenmeni istiyorum.
I want you to lie down.	Uzanmanı istiyorum.
I want you to like Tom.	Tom'u sevmeni istiyorum.
I want you to marry me.	Benimle evlenmeni istiyorum.
I want you to meet Tom.	Tom'la tanışmanı istiyorum.
I want you to see this.	Bunu görmeni istiyorum.
I want you to sit down.	Oturmanı istiyorum.
I want you to stand up.	Ayağa kalkmanızı istiyorum.
I want you to trust me.	Bana güvenmeni istiyorum.
I want you to try this.	Bunu denemeni istiyorum.
I want you to call Tom.	Tom'u aramanı istiyorum.
I want you to find Tom.	Tom'u bulmanı istiyorum.
I want Tom to go.	Tom'un gitmesini istiyorum.
I want Tom to win.	Tom'un kazanmasını istiyorum.
I want Tom to help.	Tom'un yardım etmesini istiyorum.
I want Tom to live.	Tom'un yaşamasını istiyorum.
I want Tom to lose.	Tom'un kaybetmesini istiyorum.
I want Tom to stay.	Tom'un kalmasını istiyorum.
I want Tom to stop.	Tom'un durmasını istiyorum.
I want Tom to wait.	Tom'un beklemesini istiyorum.
I want Tom to do it.	Tom'un bunu yapmasını istiyorum.
I want Tom to go away.	Tom'un gitmesini istiyorum.
I want Tom to go home.	Tom'un eve gitmesini istiyorum.
I want Tom to help us.	Tom'un bize yardım etmesini istiyorum.
I told you to leave.	Sana gitmeni söyledim.
I told Tom to do it.	Ben Tom'un onu yapmasını anlattım.
I told Tom to smile.	Tom'a gülmesini söyledim.
I told Tom to leave.	Tom'a gitmesini söyledim.
I told you to call me.	Sana beni aramanı söyledim.
I told you to get out.	Sana dışarı çıkmanı söyledim.
I told you to go away.	Sana gitmeni söyledim.
I told Tom to buy that car.	Tom'a o arabayı satın almasını söyledim.
I told Tom to keep working.	Tom'a çalışmaya devam etmesini söyledim.
I told Tom to learn karate.	Tom'a karate öğrenmesini söyledim.
I told Tom to meet me here.	Tom'a beni burada karşılamasını söyledim.
I told Tom to stay at home.	Tom'a evde kalmasını söyledim.
I told Tom to drink more milk.	Tom'a daha fazla süt içmesini söyledim.
I told Tom to go see a doctor.	Tom'a bir doktora gitmesini söyledim.
I told Tom to leave you alone.	Tom'a seni yalnız bırakmasını söyledim.
I asked Tom to come.	Tom'un gelmesini istedim.
I asked Tom to help.	Tom'un yardım etmesini istedim.
I asked Tom to sing.	Tom'un şarkı söylemesini istedim.
I asked Tom to stay.	Tom'dan kalmasını rica ettim.
I asked Tom to stop.	Tom'un durmasını istedim.
I asked Tom to come see me.	Tom'un beni görmeye gelmesini istedim.
I asked Tom to describe it.	Tom'un onu betimlemesini istedim.
I advise you to wait.	Beklemenizi tavsiye ederim.
I advise you to do that.	Bunu yapmanı tavsiye ederim.
I beg you to help me.	Bana yardım etmeni rica ediyorum.
I begged Tom to come.	Tom'a gelmesini rica etim.
I expect you to wait.	Beklemenizi umuyorum.
I expect Tom to wait.	Tom'un beklemesini ümit ediyorum.
I expect him to come.	Onun gelmesini bekliyorum.
I expect Tom to participate.	Tom'un katılmasını bekliyorum.
I expect you to work harder.	Daha çok çalışmanı bekliyorum.
I forbid you to leave.	Senin gitmeni yasaklıyorum.
I forbid you to smoke.	Senin sigara içmeni yasaklıyorum.
I forbid you to talk to Tom.	Tom'la konuşmanı yasaklıyorum.
I allow Tom to do that.	Tom'un bunu yapmasına izin veriyorum.
I dared Tom to do that.	Tom'u bunu yapması için cesaretlendirdim.
I ordered Tom to do it.	Tom'a bunu yapmasını emrettim.
Do what I tell you to do.	Sana yapmanı söylediğimi yap.
I ordered you to get out.	Sana çıkmanı emrettim.
I persuaded Tom to drive.	Tom'u araba kullanmaya ikna ettim.
I persuaded Tom to help me.	Tom'u bana yardım etmesi için ikna ettim.
Can I trust you to do that?	Onu yapmak için sana güvenebilir miyim?
I got Tom to help.	Tom'a yardım ettirdim.
I got Tom to swim.	Tom'u yüzdürdüm.
I got Tom to do it.	Onu Tom'a yaptırdım.
I got Tom to laugh.	Tom'u güldürdüm.
I got Tom to leave.	Tom'u gönderdim.
I got Tom to smile.	Tom'u güldürdüm.
I got her to wash dishes.	Ona bulaşıkları yıkattım.
I got him to stop smoking.	Ona sigara içmeyi bıraktırdım.
I got Tom to take my picture.	Tom'a fotoğrafımı çektirdim.
I need you to come with me.	Benimle gelmene ihtiyacım var.
I need you to do something.	Bir şey yapmana ihtiyacım var.
I need you to stay with me.	Benimle kalmana ihtiyacım var.
I need you to open the door.	Kapıyı açmana ihtiyacım var.
I pressured Tom to do that.	Onu yapması için Tom'a baskı yaptım.
I encouraged Tom to do that.	Tom'u bunu yapmaya teşvik ettim.
I want you to call home now.	Ben şimdi evi aramanı istiyorum.
I want you to get me a soda.	Bana bir soda almanı istiyorum.
I want you to come home now.	Şimdi eve gelmeni istiyorum.
I want you to know all this.	Bunun hepsini bilmeni istiyorum.
I want you to know who I am.	Benim kim olduğumu bilmeni istiyorum.
I want you to make a choice.	Bir seçim yapmanı istiyorum.
I want you to meet everyone.	Herkesle buluşmanı istiyorum.
I want you to pay attention.	Dikkat etmeni istiyorum.
I want your friends to come.	Arkadaşlarının gelmesini istiyorum.
What can I get you to drink?	Size ne içirebilirim?
I convinced Tom to try again.	Tom'u tekrar denemeye ikna ettim.
I want you to be nice to Tom.	Tom'a karşı kibar olmanı istiyorum.
I want you to bring it to me.	Onu bana getirmeni istiyorum.
I want you to come to Boston.	Boston'a gelmeni istiyorum.
I want you to get in the car.	Arabaya binmeni istiyorum.
I want you to get me a knife.	Bana bir bıçak satın almanı istiyorum.
I want you to have something.	Bir şeye sahip olmanı istiyorum.
Just do what I ask you to do.	Sadece yapmanı istediğim şeyi yap.
